"id","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TransceiverClass"
319825,367640910,"2023-05-29 00:59:04",29.69101,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
323574,367640910,"2023-05-29 00:57:55",29.69099,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
331762,367640910,"2023-05-29 00:54:05",29.69095,-91.09851,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
338811,367640910,"2023-05-29 01:00:04",29.69101,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
340492,367640910,"2023-05-29 01:02:24",29.69099,-91.09846,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
341512,367640910,"2023-05-29 00:55:15",29.69099,-91.09847,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
341551,367640910,"2023-05-29 01:01:15",29.69099,-91.09845,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
347542,367640910,"2023-05-29 01:03:35",29.69097,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
350273,367640910,"2023-05-29 01:04:44",29.69097,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
358078,367640910,"2023-05-29 01:05:55",29.691,-91.09843,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
365564,367640910,"2023-05-29 01:07:05",29.69102,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
384495,367640910,"2023-05-29 01:09:26",29.69097,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
386920,367640910,"2023-05-29 01:11:35",29.69096,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
389003,367640910,"2023-05-29 00:27:34",29.69095,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
399446,367640910,"2023-05-29 01:12:45",29.69097,-91.09844,102.3,360,511,"MASON G","IMO9773076","WDH6713",60,0,48,9,2.5,40,"A"
